Время посещения,Время измерения,Вход со стороны Иорданской лестницы,Вход со стороны Церковной лестницы,Вход со стороны Шуваловского проезда,Входной билет в Главный Штаб
2025-05-08 14:00:00,2025-05-07 12:13:35,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:35,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:35,0,55,37,68
2025-05-08 15:30:00,2025-05-07 12:13:35,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:35,82,51,38,59
2025-05-08 11:00:00,2025-05-07 12:13:40,57,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:40,83,48,40,75
2025-05-08 12:00:00,2025-05-07 12:13:40,87,55,39,71
2025-05-08 12:30:00,2025-05-07 12:13:40,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:40,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:40,91,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:40,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:40,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:40,0,55,37,68
2025-05-08 15:30:00,2025-05-07 12:13:40,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:40,71,51,38,59
2025-05-08 11:00:00,2025-05-07 12:13:45,57,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:45,83,48,40,75
2025-05-08 12:00:00,2025-05-07 12:13:45,87,55,39,69
2025-05-08 12:30:00,2025-05-07 12:13:45,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:45,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:45,91,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:45,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:45,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:45,0,55,37,68
2025-05-08 15:30:00,2025-05-07 12:13:45,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:45,71,51,35,59
2025-05-08 11:00:00,2025-05-07 12:13:50,54,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:50,83,48,40,75
2025-05-08 12:00:00,2025-05-07 12:13:50,87,55,36,69
2025-05-08 12:30:00,2025-05-07 12:13:50,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:50,79,56,42,75
2025-05-08 13:30:00,2025-05-07 12:13:50,91,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:50,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:50,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:50,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:13:50,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:50,71,51,35,59
2025-05-08 11:00:00,2025-05-07 12:13:55,54,54,31,67
2025-05-08 11:30:00,2025-05-07 12:13:55,83,48,39,75
2025-05-08 12:00:00,2025-05-07 12:13:55,85,55,36,69
2025-05-08 12:30:00,2025-05-07 12:13:55,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:55,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:13:55,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:55,74,53,44,65
2025-05-08 14:30:00,2025-05-07 12:13:55,77,60,45,73
2025-05-08 15:00:00,2025-05-07 12:13:55,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:13:55,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:55,71,51,35,59
2025-05-08 11:00:00,2025-05-07 12:14:00,54,54,31,67
2025-05-08 11:30:00,2025-05-07 12:14:00,83,48,39,75
2025-05-08 12:00:00,2025-05-07 12:14:00,85,55,36,69
2025-05-08 12:30:00,2025-05-07 12:14:00,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:00,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:00,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:00,74,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:00,77,60,45,73
2025-05-08 15:00:00,2025-05-07 12:14:00,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:00,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:00,71,51,35,59
2025-05-08 11:00:00,2025-05-07 12:14:05,54,54,31,67
2025-05-08 11:30:00,2025-05-07 12:14:05,83,48,39,75
2025-05-08 12:00:00,2025-05-07 12:14:05,85,55,36,69
2025-05-08 12:30:00,2025-05-07 12:14:05,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:05,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:05,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:05,74,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:05,77,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:05,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:05,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:05,68,51,35,59
2025-05-08 11:00:00,2025-05-07 12:14:10,54,54,31,67
2025-05-08 11:30:00,2025-05-07 12:14:10,83,48,39,75
2025-05-08 12:00:00,2025-05-07 12:14:10,85,55,36,66
2025-05-08 12:30:00,2025-05-07 12:14:10,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:10,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:10,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:10,74,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:10,75,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:10,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:10,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:10,68,51,31,59
2025-05-08 11:00:00,2025-05-07 12:14:15,49,54,31,67
2025-05-08 11:30:00,2025-05-07 12:14:15,80,48,39,75
2025-05-08 12:00:00,2025-05-07 12:14:15,85,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:15,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:15,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:15,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:15,74,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:15,75,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:15,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:15,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:15,68,51,31,59
2025-05-08 11:00:00,2025-05-07 12:14:20,49,54,31,67
2025-05-08 11:30:00,2025-05-07 12:14:20,80,48,39,75
2025-05-08 12:00:00,2025-05-07 12:14:20,85,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:20,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:20,79,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:20,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:20,71,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:20,75,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:20,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:20,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:20,68,51,31,57
2025-05-08 11:00:00,2025-05-07 12:14:25,49,54,30,67
2025-05-08 11:30:00,2025-05-07 12:14:25,80,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:25,85,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:25,77,55,48,70
2025-05-08 13:00:00,2025-05-07 12:14:25,76,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:25,88,57,49,77
2025-05-08 14:00:00,2025-05-07 12:14:25,71,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:25,75,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:25,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:25,80,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:25,68,51,31,57
2025-05-08 11:00:00,2025-05-07 12:14:30,49,51,30,67
2025-05-08 11:30:00,2025-05-07 12:14:30,80,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:30,85,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:30,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:30,76,56,39,75
2025-05-08 13:30:00,2025-05-07 12:14:30,88,57,47,77
2025-05-08 14:00:00,2025-05-07 12:14:30,71,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:30,75,60,44,73
2025-05-08 15:00:00,2025-05-07 12:14:30,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:30,78,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:30,63,49,31,57
2025-05-08 11:00:00,2025-05-07 12:14:35,49,51,30,67
2025-05-08 11:30:00,2025-05-07 12:14:35,80,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:35,82,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:35,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:35,76,54,39,75
2025-05-08 13:30:00,2025-05-07 12:14:35,88,57,47,77
2025-05-08 14:00:00,2025-05-07 12:14:35,71,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:35,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:14:35,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:35,78,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:35,63,49,31,57
2025-05-08 11:00:00,2025-05-07 12:14:40,46,51,30,67
2025-05-08 11:30:00,2025-05-07 12:14:40,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:40,82,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:40,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:40,76,54,39,75
2025-05-08 13:30:00,2025-05-07 12:14:40,88,57,47,77
2025-05-08 14:00:00,2025-05-07 12:14:40,71,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:40,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:14:40,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:40,78,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:40,63,49,31,54
2025-05-08 11:00:00,2025-05-07 12:14:45,46,51,30,67
2025-05-08 11:30:00,2025-05-07 12:14:45,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:45,82,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:45,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:45,73,54,38,75
2025-05-08 13:30:00,2025-05-07 12:14:45,88,57,47,77
2025-05-08 14:00:00,2025-05-07 12:14:45,70,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:45,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:14:45,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:45,78,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:45,63,49,31,54
2025-05-08 11:00:00,2025-05-07 12:14:50,46,48,30,67
2025-05-08 11:30:00,2025-05-07 12:14:50,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:50,82,55,32,66
2025-05-08 12:30:00,2025-05-07 12:14:50,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:50,73,54,38,75
2025-05-08 13:30:00,2025-05-07 12:14:50,88,57,47,77
2025-05-08 14:00:00,2025-05-07 12:14:50,70,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:50,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:14:50,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:50,78,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:50,63,49,31,54
2025-05-08 11:00:00,2025-05-07 12:14:55,46,48,30,67
2025-05-08 11:30:00,2025-05-07 12:14:55,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:14:55,82,55,32,64
2025-05-08 12:30:00,2025-05-07 12:14:55,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:14:55,73,54,38,75
2025-05-08 13:30:00,2025-05-07 12:14:55,88,57,46,77
2025-05-08 14:00:00,2025-05-07 12:14:55,70,53,39,65
2025-05-08 14:30:00,2025-05-07 12:14:55,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:14:55,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:14:55,73,60,50,72
2025-05-08 16:00:00,2025-05-07 12:14:55,63,49,31,54
2025-05-08 11:00:00,2025-05-07 12:15:00,43,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:00,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:00,81,55,30,64
2025-05-08 12:30:00,2025-05-07 12:15:00,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:15:00,73,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:00,88,57,46,77
2025-05-08 14:00:00,2025-05-07 12:15:00,70,53,39,65
2025-05-08 14:30:00,2025-05-07 12:15:00,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:00,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:00,73,60,50,72
2025-05-08 16:00:00,2025-05-07 12:15:00,63,49,30,54
2025-05-08 11:00:00,2025-05-07 12:15:05,43,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:05,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:05,81,55,30,64
2025-05-08 12:30:00,2025-05-07 12:15:05,77,51,48,70
2025-05-08 13:00:00,2025-05-07 12:15:05,70,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:05,88,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:05,70,53,39,65
2025-05-08 14:30:00,2025-05-07 12:15:05,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:05,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:05,73,60,50,72
2025-05-08 16:00:00,2025-05-07 12:15:05,63,49,30,53
2025-05-08 11:00:00,2025-05-07 12:15:10,43,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:10,78,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:10,81,55,30,64
2025-05-08 12:30:00,2025-05-07 12:15:10,77,45,48,70
2025-05-08 13:00:00,2025-05-07 12:15:10,70,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:10,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:10,70,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:10,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:10,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:10,73,60,50,69
2025-05-08 16:00:00,2025-05-07 12:15:10,63,49,30,53
2025-05-08 11:00:00,2025-05-07 12:15:15,36,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:15,75,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:15,72,55,30,64
2025-05-08 12:30:00,2025-05-07 12:15:15,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:15,70,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:15,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:15,70,51,39,65
2025-05-08 14:30:00,2025-05-07 12:15:15,66,58,42,73
2025-05-08 15:00:00,2025-05-07 12:15:15,0,55,37,67
2025-05-08 15:30:00,2025-05-07 12:15:15,70,60,50,69
2025-05-08 16:00:00,2025-05-07 12:15:15,63,49,30,53
2025-05-08 11:00:00,2025-05-07 12:15:20,36,48,30,67
2025-05-08 11:30:00,2025-05-07 12:15:20,75,48,38,75
2025-05-08 12:00:00,2025-05-07 12:15:20,72,55,30,64
2025-05-08 12:30:00,2025-05-07 12:15:20,76,45,48,68
2025-05-08 13:00:00,2025-05-07 12:15:20,67,54,38,75
2025-05-08 13:30:00,2025-05-07 12:15:20,87,57,46,76
2025-05-08 14:00:00,2025-05-07 12:15:20,70,51,39,65
